,1  Page size:  select  85 items in 1 pages,1  Page size:  select  85 items in 1 pages,1  Page size:  select  85 items in 1 pages,1  Page size:  select  85 items in 1 pages,1  Page size:  select  85 items in 1 pages,1  Page size:  select  85 items in 1 pages,1  Page size:  select  85 items in 1 pages,1  Page size:  select  85 items in 1 pages,1  Page size:  select  85 items in 1 pages,1  Page size:  select  85 items in 1 pages,1  Page size:  select  85 items in 1 pages,1  Page size:  select  85 items in 1 pages
,#,Name,Team,Pitches,Balls,Strikes,IP,G,GS,K/9,BB/9,HR/9
65,66,Rick Helling,ARI,2794,1033,1761,175.2,30,30,6.15,2.46,1.59
66,67,Ryan Jensen,SFG,2765,1029,1736,171.2,32,30,5.50,3.46,1.10
67,68,Jason Jennings,COL,3023,1179,1844,185.1,32,32,6.17,3.40,1.26
68,69,John Burkett,BOS,2698,982,1716,173.0,29,29,6.45,2.60,1.30
69,70,Joe Kennedy,TBD,3107,1147,1960,196.2,30,30,4.99,2.52,1.05
70,71,Jon Garland,CHW,3101,1166,1935,192.2,33,33,5.23,3.88,1.07
71,72,Glendon Rusch,MIL,3619,1395,2224,210.2,34,34,5.98,3.25,1.28
72,73,John Thomson,- - -,2953,1025,1928,181.2,30,30,5.30,2.18,1.39
73,74,Pedro Astacio,NYM,3003,1088,1915,191.2,31,31,7.14,2.96,1.50
74,75,Paul Wilson,TBD,3115,1185,1930,193.2,30,30,5.16,3.11,1.35
75,76,Eric Milton,MIN,2704,900,1804,171.0,29,29,6.37,1.58,1.26
76,77,Frank Castillo,BOS,2773,1019,1754,163.1,36,23,6.17,3.20,1.05
77,78,Dan Wright,CHW,3148,1234,1914,196.1,33,33,6.23,3.25,1.47
78,79,Tanyon Sturtze,TBD,3579,1374,2205,224.0,33,33,5.50,3.58,1.33
79,80,Denny Neagle,COL,2686,1004,1682,164.1,35,28,6.08,3.45,1.42
80,81,Jeff Suppan,KCR,3446,1313,2133,208.0,33,33,4.72,2.94,1.38
81,82,Ryan Dempster,- - -,3348,1311,2037,209.0,33,33,6.59,4.00,1.21
82,83,Brandon Duckworth,PHI,2889,1132,1757,163.0,30,29,9.22,3.81,1.44
83,84,Steve Sparks,DET,3075,1147,1928,189.0,32,30,4.67,3.19,1.10
84,85,Mike Hampton,COL,3002,1210,1792,178.2,30,30,3.73,4.58,1.21
